Date,Open,High,Low,Close,Adj Close,Volume
2017-07-03,144.880005,145.300003,143.100006,143.500000,137.915588,14277800
2017-07-05,143.690002,144.789993,142.720001,144.089996,138.482651,21569600
2017-07-06,143.020004,143.500000,142.410004,142.729996,137.175583,24128800
2017-07-07,142.899994,144.750000,142.899994,144.179993,138.569153,19201700
2017-07-10,144.110001,145.949997,143.369995,145.059998,139.414871,21090600
2017-07-11,144.729996,145.850006,144.380005,145.529999,139.866608,19781800
2017-07-12,145.869995,146.179993,144.820007,145.740005,140.068436,24884500
2017-07-13,145.500000,148.490005,145.440002,147.770004,142.019470,25199400
2017-07-14,147.970001,149.330002,147.330002,149.039993,143.240021,20132100
2017-07-17,148.820007,150.899994,148.570007,149.559998,143.739761,23793500
2017-07-18,149.199997,150.130005,148.669998,150.080002,144.239548,17868800
2017-07-19,150.479996,151.419998,149.949997,151.020004,145.142960,20923000
2017-07-20,151.500000,151.740005,150.190002,150.339996,144.489410,17243700
2017-07-21,149.990005,150.440002,148.880005,150.270004,144.422134,26252600
